RSelect,MergeSort,DSelect
0,21,20
0,20,20
0,30,20
10,31,35
0,41,31
0,40,30
0,41,31
0,50,30
0,40,45
11,47,30
11,50,41
10,50,41
10,50,40
10,62,41
0,61,41
10,61,49
0,60,40
2,60,40
0,80,50
0,78,50
0,80,62
10,80,55
10,81,50
0,73,58
3,80,61
12,79,61
10,81,60
10,80,60
20,88,59
10,91,60
0,101,60
10,101,71
10,110,70
0,98,71
10,100,74
20,102,77
10,110,78
10,111,76
10,112,82
10,134,82
10,120,81
10,123,80
10,124,90
10,140,91
10,138,90
10,140,91
10,141,100
10,141,91
10,151,90
10,141,100
21,150,90
20,151,90
11,152,100
10,152,100
20,150,110
20,162,101
10,164,101
20,167,110
20,162,111
20,170,121
20,191,110
20,170,120
20,180,111
20,183,110
10,180,121
0,210,112
20,190,121
20,190,120
11,193,121
10,210,120
11,202,123
10,201,122
20,200,125
14,207,130
21,212,130
10,222,121
10,213,142
10,223,140
20,244,131
10,225,142
0,241,141
6,231,141
22,231,140
10,231,141
20,229,142
30,231,142
20,240,150
10,241,162
20,250,150
10,256,144
20,252,150
10,253,160
30,260,151
20,262,160
10,263,154
11,261,160
20,260,165
20,270,159
10,272,171
20,276,160
20,283,160
20,279,172
21,284,180
20,283,182
21,280,170
20,284,175
10,300,171
20,291,186
20,301,181
20,301,181
23,298,180
20,303,182
30,300,181
30,309,180
30,311,192
24,316,190
0,313,181
10,332,181
31,325,189
20,324,190
20,332,191
18,331,192
30,333,202
20,332,203
30,352,200
20,342,191
30,344,202
20,340,201
20,343,201
30,353,209
11,354,212
30,360,213
40,358,212
30,362,212
20,373,223
10,361,213
30,372,220
31,372,221
20,373,223
20,388,223
30,386,214
30,373,210
30,385,220
40,392,231
31,391,233
30,402,230
20,390,220
30,404,231
40,410,231
10,402,232
30,404,232
20,410,230
30,413,240
32,421,230
40,432,230
40,424,241
30,427,243
30,420,243
30,431,243
40,443,251
30,446,242
40,432,251
40,432,240
30,443,252
30,445,251
30,447,262
40,452,253
30,451,263
10,459,264
41,475,264
41,461,273
27,470,266
39,471,274
30,471,274
30,472,270
41,473,278
41,476,272
20,486,272
40,481,271
30,493,270
40,502,270
40,498,279
43,492,280
41,500,283
30,503,281
41,516,283
27,510,282
30,512,292
40,508,282
40,521,294
30,510,284
20,532,293
10,522,291
51,521,302
40,529,291
40,534,293
20,543,301
50,543,302
40,545,301
37,541,301
52,546,301
40,550,305
20,542,313
60,552,311
30,554,310
30,553,317
40,564,319
51,563,311
60,571,322
50,570,322
20,563,323
40,584,324
50,582,320
50,577,333
55,590,325
40,593,332
30,584,333
40,595,338
40,594,340
50,609,333
50,603,342
40,603,333
21,602,333
61,608,332
51,613,342
54,614,342
50,624,340
42,622,350
60,616,341
50,635,344
50,629,349
31,630,343
60,653,350
40,632,345
41,641,352
30,633,352
40,645,353
56,674,366
41,662,367
30,664,361
40,653,356
50,654,374
30,665,360
51,673,363
40,670,363
50,674,370
50,684,374
51,673,383
60,683,373
45,691,383
63,693,382
30,685,382
30,694,384
50,703,384
60,692,384
50,695,387
66,709,383
50,719,392
52,704,391
30,717,393
50,714,396
60,713,392
83,719,398
40,732,403
39,734,403
40,725,403
50,727,413
50,733,381
40,730,414
30,734,408
61,741,404
50,745,414
81,741,419
30,753,414
40,752,413
70,767,421
41,764,424
21,764,422
51,771,429
46,776,426
40,772,421
60,780,433
40,775,422
60,774,425
60,791,422
50,784,435
75,798,448
25,800,443
70,805,444
50,806,431
41,793,425
65,801,435
62,809,431
21,809,442
40,816,441
61,826,444
40,847,459
60,831,450
61,835,443
77,852,445
55,841,453
20,842,471
70,852,461
60,829,453
53,862,462
70,868,467
60,890,458
50,880,463
36,861,473
70,866,463
66,855,471
42,873,475
51,885,462
50,872,465
82,867,469
40,888,468
49,884,462
90,913,466
70,877,475
74,896,474
80,929,488
81,908,483
66,911,479
72,924,489
62,903,481
60,912,486
40,909,484
20,948,502
60,969,516
52,964,505
31,928,487
36,947,491
86,917,492
80,949,490
76,939,503
81,961,506
80,954,504
61,966,502
80,969,508
50,980,515
88,950,503
80,980,519
80,958,518
70,982,502
80,987,521
93,995,527
80,998,513
50,1000,543
80,1041,530
50,986,530
81,975,531
80,1005,532
50,1025,545
66,1001,543
50,996,533
40,1012,533
90,1016,534
80,1033,531
71,1014,533
60,1025,537
30,1035,534
70,1024,542
100,1005,540
91,1028,539
72,1020,543
51,1027,534
71,1043,549
60,1037,547
55,1028,543
70,1044,556
71,1040,546
80,1054,540
30,1046,544
60,1056,545
80,1055,551
80,1055,551
80,1065,553
60,1049,557
50,1053,564
80,1074,554
60,1079,566
60,1085,553
71,1067,573
70,1076,552
80,1078,562
79,1092,565
90,1085,576
40,1109,574
65,1099,577
71,1096,565
20,1102,567
80,1115,581
80,1113,582
70,1107,584
50,1128,585
60,1106,580
80,1115,584
70,1137,591
101,1109,582
80,1108,595
71,1116,586
60,1144,596
81,1147,591
70,1125,613
90,1145,595
61,1135,603
70,1152,594
71,1153,602
100,1150,596
82,1147,604
91,1149,611
90,1158,600
101,1154,604
100,1164,627
60,1224,634
100,1177,603
90,1186,621
110,1166,609
100,1191,609
80,1191,614
20,1203,623
100,1200,614
70,1194,621
100,1200,635
80,1195,624
80,1198,623
70,1207,615
90,1201,624
77,1211,631
100,1223,640
60,1215,633
82,1216,631
40,1228,633
112,1246,632
91,1221,632
100,1247,642
72,1233,652
68,1236,643
80,1244,652
30,1244,624
44,1254,647
101,1238,652
70,1255,653
111,1236,641
50,1252,653
100,1247,678
120,1280,663
91,1269,664
110,1255,664
100,1280,658
70,1276,664
85,1279,660
60,1289,667
80,1297,672
80,1279,674
100,1276,662
70,1277,665
112,1298,671
90,1308,685
101,1324,687
98,1319,680
92,1323,673
87,1325,683
130,1314,686
80,1326,681
20,1323,683
81,1317,682
70,1335,686
112,1313,676
100,1338,687
80,1339,693
91,1337,685
100,1354,683
110,1346,677
94,1356,691
110,1349,693
51,1367,691
90,1356,692
100,1387,696
111,1379,703
91,1385,702
130,1403,727
51,1385,698
100,1394,702
91,1394,701
100,1404,713
60,1397,708
100,1399,711
100,1395,706
131,1387,716
90,1407,711
121,1405,715
120,1414,685
101,1413,717
74,1413,717
100,1406,709
122,1421,723
120,1436,715
70,1410,720
80,1414,734
122,1433,725
81,1424,725
106,1416,731
120,1428,732
90,1445,729
80,1434,736
70,1439,736
80,1448,736
130,1462,745
110,1465,754
102,1463,743
90,1450,750
113,1473,742
62,1461,751
80,1457,754
40,1456,753
102,1457,765
122,1472,763
76,1498,753
90,1487,771
100,1496,762
100,1496,755
70,1512,755
91,1494,773
125,1508,764
134,1499,774
100,1525,766
69,1529,772
81,1528,774
140,1534,784
100,1547,804
130,1521,804
130,1546,812
120,1537,804
136,1543,803
70,1556,807
107,1546,809
30,1570,818
130,1559,814
120,1561,824
91,1557,815
90,1568,824
101,1588,823
84,1585,842
121,1575,829
92,1576,826
70,1577,828
106,1600,832
70,1580,826
110,1576,836
102,1583,831
134,1606,832
121,1607,814
120,1590,844
81,1615,844
82,1610,853
131,1603,851
140,1598,845
70,1628,844
123,1626,844
73,1627,854
146,1632,843
101,1615,850
140,1644,847
150,1643,852
100,1638,854
121,1647,856
122,1622,855
102,1638,853
120,1637,863
30,1638,869
80,1641,863
80,1658,873
80,1673,873
111,1661,872
70,1686,883
123,1693,874
124,1684,880
101,1674,883
50,1664,877
130,1682,876
129,1688,884
121,1684,884
130,1689,903
131,1686,886
60,1701,900
60,1710,882
90,1702,884
139,1715,881
80,1716,865
101,1724,880
103,1702,875
70,1726,887
140,1729,874
120,1738,892
120,1747,899
93,1732,890
112,1720,893
90,1736,895
130,1745,893
61,1747,903
85,1755,907
120,1746,901
80,1741,900
10,1750,902
21,1756,905
102,1766,902
120,1769,916
100,1787,913
120,1751,908
122,1760,912
110,1766,916
112,1784,915
60,1763,922
132,1772,933
91,1798,929
100,1792,933
101,1774,924
99,1797,927
121,1789,931
108,1796,935
90,1798,932
90,1808,927
112,1818,923
142,1807,945
90,1823,927
150,1820,933
120,1813,945
41,1821,939
150,1818,943
84,1827,935
111,1829,952
111,1844,940
131,1829,946
141,1837,945
130,1836,945
110,1847,944
100,1841,945
60,1848,970
70,1856,958
110,1843,969
152,1850,963
130,1855,955
122,1851,955
140,1860,964
120,1846,973
132,1856,968
161,1861,969
112,1877,976
165,1878,964
60,1887,965
143,1878,978
110,1870,971
120,1883,983
122,1905,977
41,1877,975
120,1881,977
132,1910,975
140,1898,981
120,1889,996
141,1903,992
110,1919,994
140,1922,992
160,1910,994
148,1908,964
60,1897,993
30,1928,997
152,1906,989
120,1930,1004
130,1948,1014
130,1951,1012
141,1926,1017
40,1946,1012
91,1933,1002
101,1940,1018
121,1956,1016
151,1967,1010
100,1967,1006
101,1955,1015
165,1956,1015
80,1961,1015
161,1942,1025
120,1988,1037
80,1973,1014
132,1988,1025
152,1970,1024
160,1983,1017
131,1987,1034
120,1971,1032
90,1997,1072
100,2050,993
50,1988,996
120,2012,983
100,1989,993
80,1983,991
112,2019,985
132,2023,993
151,2019,996
140,2035,1016
150,2008,1008
150,2018,983
120,2040,1007
120,2044,1003
136,2030,1004
181,2029,1005
159,2037,996
80,2022,1017
150,2027,1007
70,2033,1026
140,2044,1015
90,2057,1015
160,2051,1001
84,2036,1014
111,2068,1018
30,2070,1027
110,2077,1017
149,2079,1027
110,2087,1023
131,2040,1036
80,2072,1030
161,2078,1026
141,2055,1027
162,2081,1027
152,2086,1050
87,2074,1029
40,2094,1047
169,2082,1034
140,2108,1030
125,2090,1038
159,2116,1036
160,2116,1055
151,2107,1044
141,2108,1045
120,2131,1040
150,2098,1046
92,2120,1045
155,2137,1044
160,2104,1044
141,2119,1052
68,2114,1045
162,2127,1033
161,2143,1041
141,2157,1045
120,2146,1057
161,2149,1045
70,2120,1046
151,2154,1059
140,2140,1043
90,2187,1064
50,2156,1062
161,2177,1057
161,2177,1066
102,2150,1066
112,2179,1065
100,2162,1069
188,2196,1086
118,2214,1081
170,2166,1075
121,2172,1068
151,2215,1072
170,2213,1073
130,2189,1075
120,2204,1084
171,2219,1084
220,2206,1091
180,2203,1084
220,2209,1086
161,2215,1095
150,2221,1081
131,2213,1083
181,2234,1093
141,2231,1094
192,2264,1094
90,2228,1089
150,2267,1087
173,2254,1095
151,2239,1094
201,2242,1092
81,2273,1098
131,2244,1093
71,2256,1096
150,2291,1105
141,2269,1094
170,2252,1096
171,2262,1094
141,2278,1104
120,2271,1103
201,2285,1124
172,2321,1103
157,2303,1123
90,2271,1117
150,2304,1134
200,2312,1126
141,2320,1123
152,2330,1125
181,2331,1136
143,2328,1132
98,2302,1135
160,2330,1128
90,2309,1136
120,2329,1129
141,2345,1131
141,2352,1127
101,2336,1134
190,2347,1141
141,2361,1153
189,2338,1146
110,2346,1144
92,2360,1138
140,2376,1147
133,2355,1154
150,2367,1149
153,2364,1154
190,2363,1159
161,2398,1151
110,2383,1160
182,2379,1154
162,2372,1149
137,2396,1154
160,2367,1154
142,2393,1157
132,2401,1160
90,2387,1164
191,2392,1166
141,2388,1156
70,2379,1181
161,2411,1168
211,2389,1175
81,2400,1178
202,2379,1177
161,2393,1167
209,2413,1166
200,2403,1165
127,2411,1177
162,2446,1185
111,2412,1189
92,2422,1192
130,2420,1183
141,2455,1175
162,2442,1192
141,2448,1185
183,2459,1189
212,2472,1205
180,2442,1213
151,2471,1206
132,2458,1185
200,2452,1195
150,2501,1206
112,2455,1197
241,2497,1216
131,2481,1199
212,2487,1196
161,2497,1201
81,2489,1207
140,2519,1205
130,2499,1215
122,2517,1204
170,2512,1207
170,2499,1216
164,2491,1227
152,2508,1212
140,2532,1229
167,2492,1225
150,2516,1216
206,2529,1226
101,2509,1226
190,2523,1234
140,2550,1216
131,2549,1237
254,2564,1237
159,2542,1234
80,2548,1232
150,2561,1239
179,2569,1234
170,2554,1242
182,2579,1242
124,2550,1247
220,2561,1235
200,2561,1251
131,2578,1255
113,2549,1236
170,2553,1234
141,2557,1244
194,2571,1246
192,2567,1257
201,2589,1244
170,2566,1256
200,2589,1251
193,2566,1258
201,2615,1259
191,2603,1262
160,2598,1245
160,2583,1229
160,2595,1259
190,2604,1259
212,2606,1260
194,2781,1266
142,2603,1262
131,2606,1269
140,2644,1275
142,2618,1270
182,2619,1286
122,2646,1291
112,2629,1278
141,2622,1272
176,2646,1288
202,2630,1288
131,2626,1267
40,2617,1280
150,2675,1288
181,2649,1292
192,2646,1291
132,2674,1289
203,2674,1275
121,2654,1298
112,2662,1289
200,2679,1288
181,2668,1287
151,2667,1315
199,2666,1297
193,2670,1298
160,2703,1304
141,2698,1308
181,2716,1296
174,2690,1306
122,2690,1307
233,2696,1308
71,2703,1299
180,2699,1300
151,2698,1314
161,2708,1318
111,2733,1320
191,2706,1304
212,2739,1315
182,2752,1327
181,2746,1338
231,2735,1308
220,2737,1316
182,2735,1328
147,2765,1326
201,2745,1330
180,2737,1318
110,2761,1324
